ime,visina,stevilo_poti
Triglav,2864,29
Montaž / Jôf di Montasio,2753,3
Škrlatica,2740,5
Mali Triglav,2725,10
Mangart,2679,8
Viš/Jof Fuart,2666,5
Vrh Brda / Cima Verde,2661,1
Visoki Rokav,2646,2
Jalovec,2645,10
Veliki Oltar,2621,2
Velika Martuljška Ponca,2602,1
Razor,2601,5
Dolkova špica,2591,6
Visoki Kanin,2587,8
Rjavec,2571,1
Mali Kanin,2571,3
Kanjavec (Zahodni vrh),2569,4
Kanjavec,2569,8
Glava v Zaplanji,2556,4
Rogljica,2547,1
Prisank / Prisojnik,2547,12
Rakova Špica,2545,0
Dovški križ,2542,2
Kredarica,2541,7
Rž,2538,4
Rjavina,2532,9
Špik nad Nosom / Foronon del Buinz,2531,2
Triglavska vojašnica Viktorja Emanuela III.,2520,4
Triglavski dom na Kredarici,2515,11
Divja koza,2507,1
Koštrunove špice,2502,3
Mala Martuljška Ponca,2501,1
Stenar,2501,5
Spodnji Rokav,2500,1
Prestreljenik,2499,7
Široka peč,2497,1
Poprovec,2496,3
Teme (Hribarice),2495,3
Veliki Ozebnik,2480,4
Vrh Zelenic,2478,1
Špik,2472,5
Mišeljski Konec,2464,1
Begunjski vrh,2461,6
Planja,2453,4
Vrh Laške Planje,2448,2
Vršaki (Vzhodni vrh),2448,4
Vrh Krnice,2441,2
Vršaki (Južni vrh),2431,2
Špik Hude police / Cima di Terrarossa,2431,2
Bivak Suringar,2430,2
Pod Kaninom,2429,1
Kukova špica,2427,2
Vršaki (Srednji vrh),2424,2
Črni Vogel,2422,1
Vršaki (Vrh za Koritami),2422,2
Pihavec,2419,4
Lipnica,2418,2
Špik nad Planjo / Punta Plagnis,2411,1
Križ,2410,8
Visoka Vrbanova špica,2408,7
Lopa,2406,2
Gubno (nad Kriško steno),2403,3
Dom Planika pod Triglavom,2401,9
Veliko Špičje,2398,7
Cmir,2393,4
Bovški Gamsovec,2392,4
Prestreljeniško okno,2391,3
Debeli vrh,2390,2
Vrh Hribaric,2388,4
Šplevta (Indijanec),2382,2
Strma peč / Monte Cimone,2380,2
Travnik (pri Mojstrovkah),2379,2
Kucelj (Julijske Alpe),2372,1
Vrh Osojnic,2371,3
Velika Mojstrovka (zahodni vrh),2369,2
Kriški rob,2366,2
Velika Mojstrovka (vzhodni vrh),2366,4
Šmarjetna glava,2358,4
Spodnji Stenar,2356,1
Zadnja Mojstrovka,2354,2
Vrh Krnega dola / Monte Cregnedul,2351,1
Kol,2350,2
Mišelj vrh,2350,1
Plaski Vogel,2348,1
Bavški Grintavec,2347,3
Briceljk,2346,1
Vevnica,2342,1
Vrh Snežne konte,2342,3
Vrh Žlebi,2339,1
Velika Črnelska špica,2332,3
Mala Mojstrovka,2332,5
Dom Valentina Staniča pod Triglavom,2332,12
Zadnji Vogel,2327,1
Mali Ozebnik,2324,2
Žrd / Sart,2324,5
Velika Zelnarica,2320,5
Veliki Nabojs / Monte Nabois grande,2313,2
Malo Špičje,2312,4
Mala Zelnarica,2310,5
Škednjovec,2309,2
Spodnja Vrbanova špica,2299,1
Konjc,2289,2
Frdamane police,2284,1
Na Nizkem,2275,1
Tosc,2275,6
Visoka Ponca,2274,3
Šplevta,2272,2
Strug,2265,1
Dom Petra Skalarja na Kaninu,2260,3
Visoka Bela Špica / Cima Alta di Riobianco,2257,1
Travnik,2252,1
Plesišče (Vrbanove špice),2248,1
Krn,2244,15
Veliki Draški vrh,2243,10
Zadnja Ponca,2242,2
Vrh Grubje,2240,1
Srednja Ponca,2228,2
Čelo,2228,7
Srednji Vogel,2226,2
Vernar,2225,8
Rombon,2208,5
Vodnikov Vršac (Vršac nad Zadnjico),2194,5
Kopica,2190,3
Plešivec (Loška stena),2184,2
Gomiščkovo zavetišče na Krnu,2182,9
Prvi Vogel,2181,2
Bivak v Veliki Dnini,2180,1
Vrh nad Peski,2176,7
Batognica,2164,12
Zgornje Kriško jezero,2158,2
Koča na Doliču,2151,10
Bivak Tarvisio,2150,0
Velika Baba (Kanin),2148,5
Bela peč/Monte Bila pec,2146,1
Krnčica,2142,3
Teme (pri Rjavini),2136,1
Srednji vrh (pri Krnu),2134,1
Kotovo sedlo,2134,2
Mali Draški vrh,2132,8
Glava za Bajto,2131,4
Jerebica,2126,2
Veliki Babanski Skedenj,2121,1
Šmihelovec,2118,2
Bivak na Jezerih,2118,1
Trentski Pelc,2116,1
Vršac (nad Zadnjo Trento),2113,2
Suhi vrh,2109,1
Goličica,2101,1
Cesar,2098,0
Velika Tičarica,2091,3
Zagorelec,2090,2
Poldašnja špica/Jof di Miezegnot,2087,4
Oklo,2087,1
Ogradi,2087,3
Šitna glava,2087,1
Tolminski Kuk,2085,11
Zadnjiški Ozebnik,2084,2
Sleme,2077,3
Slatna,2077,3
Prevalski Stog,2075,5
Rigljica,2074,1
Kamniti lovec / Cima del Cacciatore,2071,5
Zasavska koča na Prehodavcih,2071,7
Mala Tičarica,2071,4
Visoki Pipar,2069,2
Zavetišče pod Špičkom,2064,4
Poldnik (Kopa) / Picco di Mezzodi,2063,1
Podrta gora,2061,3
Veliki Pršivec,2056,1
Vrh nad Škrbino,2054,12
Zeleni vrh,2052,7
Pogačnikov dom na Kriških podih,2050,4
Viševnik,2050,21
Jelenk,2049,0
Cima Alta (Dve špici),2046,5
Veliki Lemež,2042,2
Bivak Marussich,2041,5
Jezerski Stog,2040,6
Na Pečeh,2039,1
Srednji vrh (nad jezerom v Lužnici),2032,3
Drobeče Sleme,2029,3
Kreda,2025,2
Eva,2019,1
Velika Baba,2016,4
Debela peč,2014,13
Lopatnik,2012,1
Adam,2012,1
Cima Vildiver (Dve špici),2008,2
Mahavšček,2008,6
Brda,2008,9
Rjavo jezero,2006,5
Ablanca,2004,9
Lanževica,2003,6
Kal (nad Komno),2001,1
Meja,1996,5
Vrh nad Vodeno Rupo,1995,1
Zeleno jezero,1988,4
Vratni vrh,1983,1
Vogel (nad Lepeno),1980,2
Velika Bavha / Monte Robon,1980,3
Bivak na Rušju,1980,1
Draški rob,1979,2
Bivak pod Kotovim sedlom,1977,2
Bogatin,1977,4
Pri Banderi,1974,1
Lipanski vrh,1974,5
Vrh Planje,1971,3
Monte Gosadon,1968,4
Raskovec,1967,6
Rodica,1966,10
Vrh Ovčje planje,1965,1
Okroglež,1965,3
Mrežce,1965,8
Plešivec,1962,1
Debeli vrh (nad Lipanco),1962,6
Velika Montura,1958,2
Lopič / Monte Plauris,1958,2
Vrh Leh,1958,1
Veliki Selišnik,1952,1
Bivak Gorizia,1950,1
Mali Raskovec,1946,4
Suha Rodica (Novi vrh),1944,4
Veliki Šmohor,1944,2
Prednje Robičje,1941,2
Mali Šmohor,1939,2
Matajurski vrh,1936,4
Vrh Škrli,1926,2
Macesnovec,1926,1
Bela glava,1926,1
Mala Ponca,1925,4
Vogel,1922,19
Rušnati vrh,1915,3
Rdeči rob,1913,3
Kraljevska špica/Monte Re,1912,1
Slemenova špica,1911,6
Speleološki bivak Modonutti - Savoia,1908,3
Bivak Bernardinis,1907,2
Mangartska koča na Mangartskem sedlu,1906,3
Mala Rodica,1901,2
Kser,1900,2
Rušnata glava,1899,2
Vrtaški vrh,1898,4
Poljanski vrh,1897,4
Vrh Krnic,1896,8
Vrh Razora,1893,3
Studorski preval,1892,6
Srednji Selišnik,1890,1
Krniška glavica / Jof di Sompdogna,1889,2
Klečica,1889,0
Velika Glava,1883,2
Šija,1880,5
Spodnje Kriško jezero,1880,1
Krsteniški Stog,1879,2
Konjski vrh,1879,4
Velika Kuhinja,1878,3
Čisti vrh,1875,1
Rifugio Corsi,1874,4
Vrh Muzcev (vzhodni vrh),1873,1
Lipnik (nad Lepeno),1870,1
Tolminski Migovec,1868,2
Požgana Mlinarica,1868,3
Vrh Muzcev (zahodni vrh),1864,2
Vrh Planje (nad Globokim),1863,6
Skutnik/Torre Guarda,1860,1
Vrh Dlani,1852,1
Bivak Nogara,1850,1
Rifugio Gilberti,1850,2
Šober / Monte Sciober Grande,1845,4
Žabiški Kuk,1844,6
Črna prst,1844,18
Škrbinica (Sinji dol),1838,1
Četrt,1832,4
Jezero v Ledvicah,1831,3
Kovačičeva glava,1827,1
Visoka glava,1822,1
Vodnikov dom na Velem polju,1817,8
Zajavor,1815,2
Stara koča na Kaninu,1814,1
Pri treh macesnih,1810,1
Vrtec,1809,1
Jezero v Lužnici,1801,3
Visoki Orlov rob,1800,2
Škraplja,1794,1
Plesišče,1790,1
Kumlehova glava,1788,2
Rušni vrh,1786,10
Stadorski Orliči,1782,1
Rušnata Mlinarica,1777,2
Krasji vrh,1773,3
Rigeljc,1768,1
Veliki vrh (Polovnik),1768,1
Čukla,1767,1
Svete Višarje / Monte Lussari,1766,4
Luknja,1766,2
Kurji vrh,1762,2
Pršivec,1761,7
Glave,1760,2
Sovna glava,1750,5
Zavitar,1750,2
Visoka peč,1749,4
Ciprnik,1745,4
Vršič vrh,1737,4
Skutnik / Monte Guarda,1721,2
Planina Jezerce,1720,2
Planina Zgornja Krma,1720,1
Veliki Karman / Monte Chiampon,1713,3
Kal (greben Krnčice),1699,1
Rutarski Vršič,1699,2
Gradovec,1692,4
Poštarski dom na Vršiču,1688,6
Koča pri Triglavskih jezerih,1685,8
Orlove glave,1682,1
Velo polje,1680,7
Stol (Julijske Alpe),1673,4
Planina Krstenica,1670,3
Na Glavi,1666,1
Ricovero Igor Crasso,1665,1
Jehlc (Špičasta kupa),1662,3
Rifugio di Brazza,1660,1
Planina Ovčarija,1660,4
Zavetišče pod Ponco,1657,1
Lisc (Lisec),1653,1
Florjanka / Monte Florianca,1653,2
Svinjak,1653,1
Bivak Costantini,1650,2
Planina pod Mišelj vrhom,1645,7
Matajur,1642,15
Gabrovec (Veliki Muzec),1630,1
Blejska koča na Lipanci,1630,5
Planina Viševnik,1625,4
Bivak Dino Brollo,1621,1
Vošni vrh,1621,1
Tičarjev dom na Vršiču,1618,4
Breški Jalovec / Punta di Montemaggiore,1613,2
Muzec - Musc (Mali Muzec),1612,1
Slatnik (severozahodni vrh),1609,5
Možic,1602,8
Planina za Migovcem,1600,6
Slatnik (jugovzhodni vrh),1597,5
Nemške glave,1597,1
Jerebikovec,1593,4
Lovska koča Berebica,1590,1
Bivak Stuparich,1587,2
Brinova glava,1586,1
Šavnik,1574,6
Grušnica,1570,6
Višarska planina / Malga di Lussari,1570,2
Visoki Mavrinc,1562,2
Planina v Lazu,1560,2
Planina Dedno polje,1560,3
Planina Lopučnica,1558,7
Javoršček,1557,2
Planina Klek,1556,2
Mojčin dom na Vitrancu,1555,5
Planja (nad Mangartsko planino),1553,1
Lajnar,1549,5
Planina v Plazeh,1548,2
Dravh,1547,3
Dom na Matajure,1545,2
Požar,1543,2
Kravja Črna gora,1541,1
Visoka glava (na Matajurju),1540,1
Mesnovec,1538,1
Planinska koča Merjasec,1535,3
Viška planina,1530,1
Planina na Polju,1530,2
Bivak pod Muzcem,1529,1
Lovska koča na Glinu,1527,5
Erjavčeva koča na Vršiču,1525,2
Rifugio Cinque Punte,1520,1
Dom na Komni,1520,12
Planina Ravna,1515,2
Krevl,1515,8
Koča pod Bogatinom,1513,3
Planina Za skalo,1510,1
Malga Granuda,1501,2
Lovska koča Na Utrci,1500,1
Rifugio Pellarini,1499,1
Lengarjeva glava,1498,1
Kobla,1498,4
Planina Vodični vrh,1494,1
Planina na Kalu,1490,7
Nizki vrh,1488,1
Črni vrh / Colrotondo,1486,2
Javorov vrh (Pokljuka),1482,1
Planina Govnjač,1480,1
Bivak pod Luknjo,1480,1
Kobilja glava,1475,2
Planina Poljana,1466,4
Vrtaška planina,1462,2
Koča na Planini pri Jezeru,1453,6
Jalovnik,1452,2
Planina Kanin / Casera Canin,1450,1
Planina Sleme,1448,2
Laghetto di Somdogna,1447,1
Risnati rob (Polevec),1438,2
Rifugio Brunner,1432,1
Planina Konjščica,1427,5
Bivak pod Špikom,1424,2
Planina Zadnji Vogel,1413,2
Planina Zgornja Gorjuda,1404,1
Marsinska planina,1401,1
Planina Baban,1401,2
Planina nad Sočo,1400,1
Planina Osredki,1400,2
Krnsko jezero,1391,2
Mali vrh (na Mežakli),1389,2
Rifugio Grego,1389,1
Planina Zapotok,1385,1
Planina Suha,1385,5
Dom pri Krnskih jezerih,1385,2
Tonkina koča na Vršiču,1380,1
Rifugio Zacchi,1380,1
Planica (pod Krnom),1376,2
Lipenšči hrib,1375,1
Mali Karman / Monte Cuarnan,1372,1
Javor (nad Tolminskimi Ravnami),1363,4
Mrzli vrh nad planino Pretovč,1359,3
Planina Strehica,1359,2
Mrzli vrh (na Matajurju),1358,2
Planina Zaslap,1357,2
Črna gora,1350,1
Orožnova koča na planini za Liscem,1346,4
Škrbinjek,1341,1
Bivak Za Akom,1340,1
Planina Za Črno goro,1340,6
Planina Goričica,1336,2
Frčkova planina,1335,1
Srednji vrh (na Matajurju),1320,1
Planina za Šavnikom,1320,1
Koča na planini Razor,1315,6
Kota 1313,1313,1
Koča na Soriški planini,1306,4
Planina Gozdec,1305,1
Planina Dobrenjščica,1304,2
Lovska koča Bala,1300,1
Mangartska planina,1295,1
Črno jezero,1294,3
Planina Zajavornik,1292,1
Planina Zajamniki,1280,3
Vrh Bače,1273,3
Rečiška planina,1265,4
Galetovec,1265,11
Berjanca,1264,5
Nizki vrh (Monte Nischiuarch),1260,2
Zgornji Goreljek (Pokljuka),1260,5
Planina Krnica,1252,3
Planina Slapnik,1250,2
Idrska planina,1250,2
Planina Zgornja Grintovica,1250,2
Turn (nad Bohinjsko Belo),1249,5
Planina Berebica,1248,1
Planina Zagreben,1240,1
Mija / Monte Mia,1237,3
Belska planina,1237,4
Izvir Nadiže,1232,1
Planina Zgornji Kozjek,1230,1
Planina Leskovca,1230,1
Koča na Gozdu,1226,1
Bivak Hlek,1225,2
Spodnji Goreljek (Pokljuka),1222,1
Italijanska vojaška kapela na Planici,1220,2
Svinska planina,1214,1
Grajska planina (Ribšca),1210,4
Škrbina (Mežakla),1210,2
Planina Zaprikraj,1208,1
Planina Zapleč,1201,1
Lovska koča Mali Vokel,1193,4
Lovčev bivak Pri Koucah,1192,2
Police,1184,1
Planina Nizki vrh,1182,2
Planina Bala,1181,1
Planina Kot / Malga Coot,1180,1
Planina Ilovec,1170,1
Planina Spodnja Grintovica,1165,2
Planina Pretovč,1160,2
Bivak na Črniku,1160,1
Koča na Uskovnici,1154,7
Zgornji Martuljkov slap,1150,2
Planina Blato,1147,1
Gozdarska koča Mali Vokel,1145,3
Zapotoški slapovi,1140,1
Planina Medrja,1133,1
Snežna jama na Mežakli,1130,1
Ruska kapelica,1130,1
Bedančev dom,1116,1
Slap Curk,1115,1
Koča v Krnici,1113,3
Dom v Tamarju,1108,3
Hotunjski vrh,1107,6
Planina Lom,1090,1
Mihov dom na Vršiču,1085,1
Kobala,1080,1
Malga Cuarnan,1070,1
Planina v Prodih,1070,1
Planina Ognjenik,1060,1
